U+00D7	×	MULTIPLICATION SIGN
U+822C	般	CJK UNIFIED IDEOGRAPH-822C
U+8237	舷	CJK UNIFIED IDEOGRAPH-8237
U+8239	船	CJK UNIFIED IDEOGRAPH-8239
U+826F	良	CJK UNIFIED IDEOGRAPH-826F
U+8272	色	CJK UNIFIED IDEOGRAPH-8272
U+8276	艶	CJK UNIFIED IDEOGRAPH-8276
U+829D	芝	CJK UNIFIED IDEOGRAPH-829D
U+82AF	芯	CJK UNIFIED IDEOGRAPH-82AF
U+82B1	花	CJK UNIFIED IDEOGRAPH-82B1
U+82B8	芸	CJK UNIFIED IDEOGRAPH-82B8
U+82DB	苛	CJK UNIFIED IDEOGRAPH-82DB
U+82E5	若	CJK UNIFIED IDEOGRAPH-82E5
U+82E6	苦	CJK UNIFIED IDEOGRAPH-82E6
U+82F1	英	CJK UNIFIED IDEOGRAPH-82F1
U+8336	茶	CJK UNIFIED IDEOGRAPH-8336
U+8349	草	CJK UNIFIED IDEOGRAPH-8349
U+8352	荒	CJK UNIFIED IDEOGRAPH-8352
U+8377	荷	CJK UNIFIED IDEOGRAPH-8377
U+83D3	菓	CJK UNIFIED IDEOGRAPH-83D3
U+83EF	華	CJK UNIFIED IDEOGRAPH-83EF
U+843D	落	CJK UNIFIED IDEOGRAPH-843D
U+8449	葉	CJK UNIFIED IDEOGRAPH-8449
U+846C	葬	CJK UNIFIED IDEOGRAPH-846C
U+84C4	蓄	CJK UNIFIED IDEOGRAPH-84C4
U+8511	蔑	CJK UNIFIED IDEOGRAPH-8511
U+8584	薄	CJK UNIFIED IDEOGRAPH-8584
U+85AA	薪	CJK UNIFIED IDEOGRAPH-85AA
U+85AC	薬	CJK UNIFIED IDEOGRAPH-85AC
U+85CD	藍	CJK UNIFIED IDEOGRAPH-85CD
U+8607	蘇	CJK UNIFIED IDEOGRAPH-8607
U+864E	虎	CJK UNIFIED IDEOGRAPH-864E
U+8650	虐	CJK UNIFIED IDEOGRAPH-8650
U+865A	虚	CJK UNIFIED IDEOGRAPH-865A
U+865C	虜	CJK UNIFIED IDEOGRAPH-865C
U+866B	虫	CJK UNIFIED IDEOGRAPH-866B
U+86C7	蛇	CJK UNIFIED IDEOGRAPH-86C7
U+86CD	蛍	CJK UNIFIED IDEOGRAPH-86CD
U+86EE	蛮	CJK UNIFIED IDEOGRAPH-86EE
U+8755	蝕	CJK UNIFIED IDEOGRAPH-8755
U+878D	融	CJK UNIFIED IDEOGRAPH-878D
U+8840	血	CJK UNIFIED IDEOGRAPH-8840
U+8846	衆	CJK UNIFIED IDEOGRAPH-8846
U+884C	行	CJK UNIFIED IDEOGRAPH-884C
U+8853	術	CJK UNIFIED IDEOGRAPH-8853
U+8857	街	CJK UNIFIED IDEOGRAPH-8857
U+885B	衛	CJK UNIFIED IDEOGRAPH-885B
U+885D	衝	CJK UNIFIED IDEOGRAPH-885D
U+8863	衣	CJK UNIFIED IDEOGRAPH-8863
U+8868	表	CJK UNIFIED IDEOGRAPH-8868
U+888B	袋	CJK UNIFIED IDEOGRAPH-888B
U+88AB	被	CJK UNIFIED IDEOGRAPH-88AB
U+88C1	裁	CJK UNIFIED IDEOGRAPH-88C1
U+88C2	裂	CJK UNIFIED IDEOGRAPH-88C2
U+88C5	装	CJK UNIFIED IDEOGRAPH-88C5
U+88CF	裏	CJK UNIFIED IDEOGRAPH-88CF
U+88D5	裕	CJK UNIFIED IDEOGRAPH-88D5
U+88DC	補	CJK UNIFIED IDEOGRAPH-88DC
U+88F8	裸	CJK UNIFIED IDEOGRAPH-88F8
U+88FD	製	CJK UNIFIED IDEOGRAPH-88FD
U+8912	褒	CJK UNIFIED IDEOGRAPH-8912
U+8972	襲	CJK UNIFIED IDEOGRAPH-8972
U+897F	西	CJK UNIFIED IDEOGRAPH-897F
U+8981	要	CJK UNIFIED IDEOGRAPH-8981
U+8986	覆	CJK UNIFIED IDEOGRAPH-8986
U+8987	覇	CJK UNIFIED IDEOGRAPH-8987
U+898B	見	CJK UNIFIED IDEOGRAPH-898B
U+898F	規	CJK UNIFIED IDEOGRAPH-898F
U+8996	視	CJK UNIFIED IDEOGRAPH-8996
U+899A	覚	CJK UNIFIED IDEOGRAPH-899A
U+89A7	覧	CJK UNIFIED IDEOGRAPH-89A7
U+89AA	親	CJK UNIFIED IDEOGRAPH-89AA
U+89B3	観	CJK UNIFIED IDEOGRAPH-89B3
U+89D2	角	CJK UNIFIED IDEOGRAPH-89D2
U+89E3	解	CJK UNIFIED IDEOGRAPH-89E3
U+89E6	触	CJK UNIFIED IDEOGRAPH-89E6
U+8A00	言	CJK UNIFIED IDEOGRAPH-8A00
U+8A08	計	CJK UNIFIED IDEOGRAPH-8A08
U+8A0E	討	CJK UNIFIED IDEOGRAPH-8A0E
U+8A13	訓	CJK UNIFIED IDEOGRAPH-8A13
U+8A17	託	CJK UNIFIED IDEOGRAPH-8A17
U+8A18	記	CJK UNIFIED IDEOGRAPH-8A18
U+8A2A	訪	CJK UNIFIED IDEOGRAPH-8A2A
U+8A2D	設	CJK UNIFIED IDEOGRAPH-8A2D
U+8A31	許	CJK UNIFIED IDEOGRAPH-8A31
U+8A33	訳	CJK UNIFIED IDEOGRAPH-8A33
U+8A34	訴	CJK UNIFIED IDEOGRAPH-8A34
U+8A3A	診	CJK UNIFIED IDEOGRAPH-8A3A
U+8A3C	証	CJK UNIFIED IDEOGRAPH-8A3C
U+8A55	評	CJK UNIFIED IDEOGRAPH-8A55
U+8A5E	詞	CJK UNIFIED IDEOGRAPH-8A5E
U+8A66	試	CJK UNIFIED IDEOGRAPH-8A66
U+8A69	詩	CJK UNIFIED IDEOGRAPH-8A69
U+8A6B	詫	CJK UNIFIED IDEOGRAPH-8A6B
U+8A6E	詮	CJK UNIFIED IDEOGRAPH-8A6E
U+8A70	詰	CJK UNIFIED IDEOGRAPH-8A70
U+8A71	話	CJK UNIFIED IDEOGRAPH-8A71
U+8A73	詳	CJK UNIFIED IDEOGRAPH-8A73
U+8A87	誇	CJK UNIFIED IDEOGRAPH-8A87
U+8A89	誉	CJK UNIFIED IDEOGRAPH-8A89
U+8A8D	認	CJK UNIFIED IDEOGRAPH-8A8D
U+8A93	誓	CJK UNIFIED IDEOGRAPH-8A93
U+8A95	誕	CJK UNIFIED IDEOGRAPH-8A95
U+8A98	誘	CJK UNIFIED IDEOGRAPH-8A98
U+8A9E	語	CJK UNIFIED IDEOGRAPH-8A9E
U+8AA0	誠	CJK UNIFIED IDEOGRAPH-8AA0
U+8AA4	誤	CJK UNIFIED IDEOGRAPH-8AA4
U+8AAC	説	CJK UNIFIED IDEOGRAPH-8AAC
U+8AAD	読	CJK UNIFIED IDEOGRAPH-8AAD
U+8AB0	誰	CJK UNIFIED IDEOGRAPH-8AB0
U+8AB2	課	CJK UNIFIED IDEOGRAPH-8AB2
U+8ABF	調	CJK UNIFIED IDEOGRAPH-8ABF
U+8AC7	談	CJK UNIFIED IDEOGRAPH-8AC7
U+8ACB	請	CJK UNIFIED IDEOGRAPH-8ACB
U+8ACD	諍	CJK UNIFIED IDEOGRAPH-8ACD
U+8AD6	論	CJK UNIFIED IDEOGRAPH-8AD6
U+8AE6	諦	CJK UNIFIED IDEOGRAPH-8AE6
U+8AF8	諸	CJK UNIFIED IDEOGRAPH-8AF8
U+8B00	謀	CJK UNIFIED IDEOGRAPH-8B00
U+8B01	謁	CJK UNIFIED IDEOGRAPH-8B01
U+8B0E	謎	CJK UNIFIED IDEOGRAPH-8B0E
U+8B1B	講	CJK UNIFIED IDEOGRAPH-8B1B
U+8B1D	謝	CJK UNIFIED IDEOGRAPH-8B1D
U+8B39	謹	CJK UNIFIED IDEOGRAPH-8B39
U+8B58	識	CJK UNIFIED IDEOGRAPH-8B58
U+8B66	警	CJK UNIFIED IDEOGRAPH-8B66
U+8B70	議	CJK UNIFIED IDEOGRAPH-8B70
U+8B72	譲	CJK UNIFIED IDEOGRAPH-8B72
U+8B77	護	CJK UNIFIED IDEOGRAPH-8B77
U+8B90	讐	CJK UNIFIED IDEOGRAPH-8B90
U+8C37	谷	CJK UNIFIED IDEOGRAPH-8C37
U+8C46	豆	CJK UNIFIED IDEOGRAPH-8C46
U+8C4A	豊	CJK UNIFIED IDEOGRAPH-8C4A
U+8C61	象	CJK UNIFIED IDEOGRAPH-8C61
U+8C6A	豪	CJK UNIFIED IDEOGRAPH-8C6A
U+8C8C	貌	CJK UNIFIED IDEOGRAPH-8C8C
U+8CA0	負	CJK UNIFIED IDEOGRAPH-8CA0
U+8CA1	財	CJK UNIFIED IDEOGRAPH-8CA1
U+8CA7	貧	CJK UNIFIED IDEOGRAPH-8CA7
U+8CA9	販	CJK UNIFIED IDEOGRAPH-8CA9
U+8CAB	貫	CJK UNIFIED IDEOGRAPH-8CAB
U+8CAC	責	CJK UNIFIED IDEOGRAPH-8CAC
U+8CAF	貯	CJK UNIFIED IDEOGRAPH-8CAF
U+8CB0	貰	CJK UNIFIED IDEOGRAPH-8CB0
U+8CB4	貴	CJK UNIFIED IDEOGRAPH-8CB4
U+8CB7	買	CJK UNIFIED IDEOGRAPH-8CB7
U+8CB8	貸	CJK UNIFIED IDEOGRAPH-8CB8
U+8CBB	費	CJK UNIFIED IDEOGRAPH-8CBB
U+8CBF	貿	CJK UNIFIED IDEOGRAPH-8CBF
U+8CC7	資	CJK UNIFIED IDEOGRAPH-8CC7
U+8CCA	賊	CJK UNIFIED IDEOGRAPH-8CCA
U+8CD1	賑	CJK UNIFIED IDEOGRAPH-8CD1
U+8CD3	賓	CJK UNIFIED IDEOGRAPH-8CD3
U+8CDB	賛	CJK UNIFIED IDEOGRAPH-8CDB
U+8CDC	賜	CJK UNIFIED IDEOGRAPH-8CDC
U+8CDE	賞	CJK UNIFIED IDEOGRAPH-8CDE
U+8CE2	賢	CJK UNIFIED IDEOGRAPH-8CE2
U+8CEA	質	CJK UNIFIED IDEOGRAPH-8CEA
U+8CED	賭	CJK UNIFIED IDEOGRAPH-8CED
U+8D04	贄	CJK UNIFIED IDEOGRAPH-8D04
U+8D05	贅	CJK UNIFIED IDEOGRAPH-8D05
U+8D08	贈	CJK UNIFIED IDEOGRAPH-8D08
U+8D64	赤	CJK UNIFIED IDEOGRAPH-8D64
U+8D66	赦	CJK UNIFIED IDEOGRAPH-8D66
U+8D70	走	CJK UNIFIED IDEOGRAPH-8D70
U+8D74	赴	CJK UNIFIED IDEOGRAPH-8D74
U+8D77	起	CJK UNIFIED IDEOGRAPH-8D77
U+8D85	超	CJK UNIFIED IDEOGRAPH-8D85
U+8D8A	越	CJK UNIFIED IDEOGRAPH-8D8A
U+8DA3	趣	CJK UNIFIED IDEOGRAPH-8DA3
U+8DB3	足	CJK UNIFIED IDEOGRAPH-8DB3
U+8DDD	距	CJK UNIFIED IDEOGRAPH-8DDD
U+8DE1	跡	CJK UNIFIED IDEOGRAPH-8DE1
U+8DEF	路	CJK UNIFIED IDEOGRAPH-8DEF
U+8E0A	踊	CJK UNIFIED IDEOGRAPH-8E0A
U+8E0F	踏	CJK UNIFIED IDEOGRAPH-8E0F
U+8E2A	踪	CJK UNIFIED IDEOGRAPH-8E2A
U+8E74	蹴	CJK UNIFIED IDEOGRAPH-8E74
U+8E8D	躍	CJK UNIFIED IDEOGRAPH-8E8D
U+8EAB	身	CJK UNIFIED IDEOGRAPH-8EAB
U+8ECA	車	CJK UNIFIED IDEOGRAPH-8ECA
U+8ECD	軍	CJK UNIFIED IDEOGRAPH-8ECD
U+8EE2	転	CJK UNIFIED IDEOGRAPH-8EE2
U+8EFD	軽	CJK UNIFIED IDEOGRAPH-8EFD
U+8F03	較	CJK UNIFIED IDEOGRAPH-8F03
U+8F09	載	CJK UNIFIED IDEOGRAPH-8F09
U+8F1D	輝	CJK UNIFIED IDEOGRAPH-8F1D
U+8F29	輩	CJK UNIFIED IDEOGRAPH-8F29
U+8F2A	輪	CJK UNIFIED IDEOGRAPH-8F2A
U+8F38	輸	CJK UNIFIED IDEOGRAPH-8F38
U+8F3F	輿	CJK UNIFIED IDEOGRAPH-8F3F
U+8F9B	辛	CJK UNIFIED IDEOGRAPH-8F9B
U+8F9E	辞	CJK UNIFIED IDEOGRAPH-8F9E
U+8FB1	辱	CJK UNIFIED IDEOGRAPH-8FB1
U+8FB2	農	CJK UNIFIED IDEOGRAPH-8FB2
U+8FBA	辺	CJK UNIFIED IDEOGRAPH-8FBA
U+8FBC	込	CJK UNIFIED IDEOGRAPH-8FBC
U+8FC2	迂	CJK UNIFIED IDEOGRAPH-8FC2
U+8FC5	迅	CJK UNIFIED IDEOGRAPH-8FC5
U+8FCE	迎	CJK UNIFIED IDEOGRAPH-8FCE
U+8FD1	近	CJK UNIFIED IDEOGRAPH-8FD1
U+8FD4	返	CJK UNIFIED IDEOGRAPH-8FD4
U+8FEB	迫	CJK UNIFIED IDEOGRAPH-8FEB
U+8FF7	迷	CJK UNIFIED IDEOGRAPH-8FF7
U+8FFD	追	CJK UNIFIED IDEOGRAPH-8FFD
U+9000	退	CJK UNIFIED IDEOGRAPH-9000
U+9001	送	CJK UNIFIED IDEOGRAPH-9001
U+9003	逃	CJK UNIFIED IDEOGRAPH-9003
U+9006	逆	CJK UNIFIED IDEOGRAPH-9006
U+900F	透	CJK UNIFIED IDEOGRAPH-900F
U+9010	逐	CJK UNIFIED IDEOGRAPH-9010
U+9014	途	CJK UNIFIED IDEOGRAPH-9014
U+9019	這	CJK UNIFIED IDEOGRAPH-9019
U+901A	通	CJK UNIFIED IDEOGRAPH-901A
U+901D	逝	CJK UNIFIED IDEOGRAPH-901D
U+901F	速	CJK UNIFIED IDEOGRAPH-901F
U+9020	造	CJK UNIFIED IDEOGRAPH-9020
U+9023	連	CJK UNIFIED IDEOGRAPH-9023
U+902E	逮	CJK UNIFIED IDEOGRAPH-902E
U+9032	進	CJK UNIFIED IDEOGRAPH-9032
U+9038	逸	CJK UNIFIED IDEOGRAPH-9038
U+9042	遂	CJK UNIFIED IDEOGRAPH-9042
U+9045	遅	CJK UNIFIED IDEOGRAPH-9045
U+9047	遇	CJK UNIFIED IDEOGRAPH-9047
U+904A	遊	CJK UNIFIED IDEOGRAPH-904A
U+904B	運	CJK UNIFIED IDEOGRAPH-904B
U+904E	過	CJK UNIFIED IDEOGRAPH-904E
U+9053	道	CJK UNIFIED IDEOGRAPH-9053
U+9054	達	CJK UNIFIED IDEOGRAPH-9054
U+9055	違	CJK UNIFIED IDEOGRAPH-9055
U+9060	遠	CJK UNIFIED IDEOGRAPH-9060
U+9063	遣	CJK UNIFIED IDEOGRAPH-9063
U+9065	遥	CJK UNIFIED IDEOGRAPH-9065
U+9069	適	CJK UNIFIED IDEOGRAPH-9069
U+906D	遭	CJK UNIFIED IDEOGRAPH-906D
U+9078	選	CJK UNIFIED IDEOGRAPH-9078
U+907A	遺	CJK UNIFIED IDEOGRAPH-907A
U+907F	避	CJK UNIFIED IDEOGRAPH-907F
U+9084	還	CJK UNIFIED IDEOGRAPH-9084
U+90A3	那	CJK UNIFIED IDEOGRAPH-90A3
U+90AA	邪	CJK UNIFIED IDEOGRAPH-90AA
U+90CE	郎	CJK UNIFIED IDEOGRAPH-90CE
U+90E8	部	CJK UNIFIED IDEOGRAPH-90E8
U+90F7	郷	CJK UNIFIED IDEOGRAPH-90F7
U+90FD	都	CJK UNIFIED IDEOGRAPH-90FD
U+914C	酌	CJK UNIFIED IDEOGRAPH-914C
U+914D	配	CJK UNIFIED IDEOGRAPH-914D
U+9152	酒	CJK UNIFIED IDEOGRAPH-9152
U+9154	酔	CJK UNIFIED IDEOGRAPH-9154
U+916C	酬	CJK UNIFIED IDEOGRAPH-916C
U+9177	酷	CJK UNIFIED IDEOGRAPH-9177
U+918D	醍	CJK UNIFIED IDEOGRAPH-918D
U+9190	醐	CJK UNIFIED IDEOGRAPH-9190
U+91C8	釈	CJK UNIFIED IDEOGRAPH-91C8
U+91CC	里	CJK UNIFIED IDEOGRAPH-91CC
U+91CD	重	CJK UNIFIED IDEOGRAPH-91CD
U+91CE	野	CJK UNIFIED IDEOGRAPH-91CE
U+91CF	量	CJK UNIFIED IDEOGRAPH-91CF
U+91D1	金	CJK UNIFIED IDEOGRAPH-91D1
U+91DD	針	CJK UNIFIED IDEOGRAPH-91DD
U+91E3	釣	CJK UNIFIED IDEOGRAPH-91E3
U+920D	鈍	CJK UNIFIED IDEOGRAPH-920D
U+9244	鉄	CJK UNIFIED IDEOGRAPH-9244
U+9280	銀	CJK UNIFIED IDEOGRAPH-9280
U+9298	銘	CJK UNIFIED IDEOGRAPH-9298
U+92AD	銭	CJK UNIFIED IDEOGRAPH-92AD
U+92ED	鋭	CJK UNIFIED IDEOGRAPH-92ED
U+92FC	鋼	CJK UNIFIED IDEOGRAPH-92FC
U+9306	錆	CJK UNIFIED IDEOGRAPH-9306
U+932C	錬	CJK UNIFIED IDEOGRAPH-932C
U+9332	録	CJK UNIFIED IDEOGRAPH-9332
U+935B	鍛	CJK UNIFIED IDEOGRAPH-935B
U+93A7	鎧	CJK UNIFIED IDEOGRAPH-93A7
U+93E1	鏡	CJK UNIFIED IDEOGRAPH-93E1
U+9577	長	CJK UNIFIED IDEOGRAPH-9577
U+9580	門	CJK UNIFIED IDEOGRAPH-9580
U+9583	閃	CJK UNIFIED IDEOGRAPH-9583
U+9589	閉	CJK UNIFIED IDEOGRAPH-9589
U+958B	開	CJK UNIFIED IDEOGRAPH-958B
U+9593	間	CJK UNIFIED IDEOGRAPH-9593
U+95A2	関	CJK UNIFIED IDEOGRAPH-95A2
U+95C7	闇	CJK UNIFIED IDEOGRAPH-95C7
U+95D8	闘	CJK UNIFIED IDEOGRAPH-95D8
U+9632	防	CJK UNIFIED IDEOGRAPH-9632
U+963B	阻	CJK UNIFIED IDEOGRAPH-963B
U+964D	降	CJK UNIFIED IDEOGRAPH-964D
U+9650	限	CJK UNIFIED IDEOGRAPH-9650
U+965B	陛	CJK UNIFIED IDEOGRAPH-965B
U+9663	陣	CJK UNIFIED IDEOGRAPH-9663
U+9664	除	CJK UNIFIED IDEOGRAPH-9664
U+9665	陥	CJK UNIFIED IDEOGRAPH-9665
U+9670	陰	CJK UNIFIED IDEOGRAPH-9670
U+9678	陸	CJK UNIFIED IDEOGRAPH-9678
U+967A	険	CJK UNIFIED IDEOGRAPH-967A
U+967D	陽	CJK UNIFIED IDEOGRAPH-967D
U+968A	隊	CJK UNIFIED IDEOGRAPH-968A
U+968E	階	CJK UNIFIED IDEOGRAPH-968E
U+968F	随	CJK UNIFIED IDEOGRAPH-968F
U+9694	隔	CJK UNIFIED IDEOGRAPH-9694
U+9699	隙	CJK UNIFIED IDEOGRAPH-9699
U+969B	際	CJK UNIFIED IDEOGRAPH-969B
U+969C	障	CJK UNIFIED IDEOGRAPH-969C
U+96A0	隠	CJK UNIFIED IDEOGRAPH-96A0
U+96A3	隣	CJK UNIFIED IDEOGRAPH-96A3
U+96B7	隷	CJK UNIFIED IDEOGRAPH-96B7
U+96BB	隻	CJK UNIFIED IDEOGRAPH-96BB
U+96C4	雄	CJK UNIFIED IDEOGRAPH-96C4
U+96C6	集	CJK UNIFIED IDEOGRAPH-96C6
U+96C7	雇	CJK UNIFIED IDEOGRAPH-96C7
U+96D1	雑	CJK UNIFIED IDEOGRAPH-96D1
U+96E2	離	CJK UNIFIED IDEOGRAPH-96E2
U+96E3	難	CJK UNIFIED IDEOGRAPH-96E3
U+96E8	雨	CJK UNIFIED IDEOGRAPH-96E8
U+96F0	雰	CJK UNIFIED IDEOGRAPH-96F0
U+96F2	雲	CJK UNIFIED IDEOGRAPH-96F2
U+96F7	雷	CJK UNIFIED IDEOGRAPH-96F7
U+96FB	電	CJK UNIFIED IDEOGRAPH-96FB
U+9707	震	CJK UNIFIED IDEOGRAPH-9707
U+970A	霊	CJK UNIFIED IDEOGRAPH-970A
U+9727	霧	CJK UNIFIED IDEOGRAPH-9727
U+9732	露	CJK UNIFIED IDEOGRAPH-9732
U+9752	青	CJK UNIFIED IDEOGRAPH-9752
U+9759	静	CJK UNIFIED IDEOGRAPH-9759
U+975E	非	CJK UNIFIED IDEOGRAPH-975E
U+9762	面	CJK UNIFIED IDEOGRAPH-9762
U+9769	革	CJK UNIFIED IDEOGRAPH-9769
U+976D	靭	CJK UNIFIED IDEOGRAPH-976D
U+9774	靴	CJK UNIFIED IDEOGRAPH-9774
U+978D	鞍	CJK UNIFIED IDEOGRAPH-978D
U+97F3	音	CJK UNIFIED IDEOGRAPH-97F3
U+97FF	響	CJK UNIFIED IDEOGRAPH-97FF
U+9801	頁	CJK UNIFIED IDEOGRAPH-9801
U+9802	頂	CJK UNIFIED IDEOGRAPH-9802
U+9803	頃	CJK UNIFIED IDEOGRAPH-9803
U+9805	項	CJK UNIFIED IDEOGRAPH-9805
U+9806	順	CJK UNIFIED IDEOGRAPH-9806
U+9810	預	CJK UNIFIED IDEOGRAPH-9810
U+9811	頑	CJK UNIFIED IDEOGRAPH-9811
U+9818	領	CJK UNIFIED IDEOGRAPH-9818
U+982C	頬	CJK UNIFIED IDEOGRAPH-982C
U+982D	頭	CJK UNIFIED IDEOGRAPH-982D
U+983B	頻	CJK UNIFIED IDEOGRAPH-983B
U+983C	頼	CJK UNIFIED IDEOGRAPH-983C
U+984C	題	CJK UNIFIED IDEOGRAPH-984C
U+984D	額	CJK UNIFIED IDEOGRAPH-984D
U+9854	顔	CJK UNIFIED IDEOGRAPH-9854
U+9858	願	CJK UNIFIED IDEOGRAPH-9858
U+985E	類	CJK UNIFIED IDEOGRAPH-985E
U+9867	顧	CJK UNIFIED IDEOGRAPH-9867
U+98A8	風	CJK UNIFIED IDEOGRAPH-98A8
U+98DB	飛	CJK UNIFIED IDEOGRAPH-98DB
U+98DF	食	CJK UNIFIED IDEOGRAPH-98DF
U+98E2	飢	CJK UNIFIED IDEOGRAPH-98E2
U+98EF	飯	CJK UNIFIED IDEOGRAPH-98EF
U+98F2	飲	CJK UNIFIED IDEOGRAPH-98F2
U+98FC	飼	CJK UNIFIED IDEOGRAPH-98FC
U+98FD	飽	CJK UNIFIED IDEOGRAPH-98FD
U+98FE	飾	CJK UNIFIED IDEOGRAPH-98FE
U+990A	養	CJK UNIFIED IDEOGRAPH-990A
U+9996	首	CJK UNIFIED IDEOGRAPH-9996
U+9999	香	CJK UNIFIED IDEOGRAPH-9999
U+99AC	馬	CJK UNIFIED IDEOGRAPH-99AC
U+99B3	馳	CJK UNIFIED IDEOGRAPH-99B3
U+99B4	馴	CJK UNIFIED IDEOGRAPH-99B4
U+99C4	駄	CJK UNIFIED IDEOGRAPH-99C4
U+99C6	駆	CJK UNIFIED IDEOGRAPH-99C6
U+99D0	駐	CJK UNIFIED IDEOGRAPH-99D0
U+99D2	駒	CJK UNIFIED IDEOGRAPH-99D2
U+9A0E	騎	CJK UNIFIED IDEOGRAPH-9A0E
U+9A12	騒	CJK UNIFIED IDEOGRAPH-9A12
U+9A13	験	CJK UNIFIED IDEOGRAPH-9A13
U+9A5A	驚	CJK UNIFIED IDEOGRAPH-9A5A
U+9AA8	骨	CJK UNIFIED IDEOGRAPH-9AA8
U+9AB8	骸	CJK UNIFIED IDEOGRAPH-9AB8
U+9AD8	高	CJK UNIFIED IDEOGRAPH-9AD8
U+9AEA	髪	CJK UNIFIED IDEOGRAPH-9AEA
U+9B3C	鬼	CJK UNIFIED IDEOGRAPH-9B3C
U+9B42	魂	CJK UNIFIED IDEOGRAPH-9B42
U+9B45	魅	CJK UNIFIED IDEOGRAPH-9B45
U+9B54	魔	CJK UNIFIED IDEOGRAPH-9B54
U+9B5A	魚	CJK UNIFIED IDEOGRAPH-9B5A
U+9BAE	鮮	CJK UNIFIED IDEOGRAPH-9BAE
U+9CE5	鳥	CJK UNIFIED IDEOGRAPH-9CE5
U+9CF4	鳴	CJK UNIFIED IDEOGRAPH-9CF4
U+9DF2	鷲	CJK UNIFIED IDEOGRAPH-9DF2
U+9E7F	鹿	CJK UNIFIED IDEOGRAPH-9E7F
U+9E97	麗	CJK UNIFIED IDEOGRAPH-9E97
U+9EC4	黄	CJK UNIFIED IDEOGRAPH-9EC4
U+9ED2	黒	CJK UNIFIED IDEOGRAPH-9ED2
U+9ED9	黙	CJK UNIFIED IDEOGRAPH-9ED9
U+9F3B	鼻	CJK UNIFIED IDEOGRAPH-9F3B
U+9F62	齢	CJK UNIFIED IDEOGRAPH-9F62
U+FF01	！	FULLWIDTH EXCLAMATION MARK
U+FF05	％	FULLWIDTH PERCENT SIGN
U+FF08	（	FULLWIDTH LEFT PARENTHESIS
U+FF09	）	FULLWIDTH RIGHT PARENTHESIS
U+FF0B	＋	FULLWIDTH PLUS SIGN
U+FF0D	－	FULLWIDTH HYPHEN-MINUS
U+FF0E	．	FULLWIDTH FULL STOP
U+FF0F	／	FULLWIDTH SOLIDUS
U+FF10	０	FULLWIDTH DIGIT ZERO
U+FF11	１	FULLWIDTH DIGIT ONE
U+FF12	２	FULLWIDTH DIGIT TWO
U+FF13	３	FULLWIDTH DIGIT THREE
U+FF14	４	FULLWIDTH DIGIT FOUR
U+FF15	５	FULLWIDTH DIGIT FIVE
U+FF16	６	FULLWIDTH DIGIT SIX
U+FF17	７	FULLWIDTH DIGIT SEVEN
U+FF18	８	FULLWIDTH DIGIT EIGHT
U+FF19	９	FULLWIDTH DIGIT NINE
U+FF1A	：	FULLWIDTH COLON
U+FF1C	＜	FULLWIDTH LESS-THAN SIGN
U+FF1E	＞	FULLWIDTH GREATER-THAN SIGN
U+FF1F	？	FULLWIDTH QUESTION MARK
U+FF21	Ａ	FULLWIDTH LATIN CAPITAL LETTER A
U+FF22	Ｂ	FULLWIDTH LATIN CAPITAL LETTER B
U+FF23	Ｃ	FULLWIDTH LATIN CAPITAL LETTER C
U+FF24	Ｄ	FULLWIDTH LATIN CAPITAL LETTER D
U+FF25	Ｅ	FULLWIDTH LATIN CAPITAL LETTER E
U+FF26	Ｆ	FULLWIDTH LATIN CAPITAL LETTER F
U+FF27	Ｇ	FULLWIDTH LATIN CAPITAL LETTER G
U+FF28	Ｈ	FULLWIDTH LATIN CAPITAL LETTER H
U+FF29	Ｉ	FULLWIDTH LATIN CAPITAL LETTER I
U+FF2C	Ｌ	FULLWIDTH LATIN CAPITAL LETTER L
U+FF2D	Ｍ	FULLWIDTH LATIN CAPITAL LETTER M
U+FF2E	Ｎ	FULLWIDTH LATIN CAPITAL LETTER N
U+FF2F	Ｏ	FULLWIDTH LATIN CAPITAL LETTER O
U+FF30	Ｐ	FULLWIDTH LATIN CAPITAL LETTER P
U+FF32	Ｒ	FULLWIDTH LATIN CAPITAL LETTER R
U+FF33	Ｓ	FULLWIDTH LATIN CAPITAL LETTER S
U+FF34	Ｔ	FULLWIDTH LATIN CAPITAL LETTER T
U+FF36	Ｖ	FULLWIDTH LATIN CAPITAL LETTER V
U+FF37	Ｗ	FULLWIDTH LATIN CAPITAL LETTER W
U+FF38	Ｘ	FULLWIDTH LATIN CAPITAL LETTER X
U+FF41	ａ	FULLWIDTH LATIN SMALL LETTER A
U+FF43	ｃ	FULLWIDTH LATIN SMALL LETTER C
U+FF44	ｄ	FULLWIDTH LATIN SMALL LETTER D
U+FF45	ｅ	FULLWIDTH LATIN SMALL LETTER E
U+FF47	ｇ	FULLWIDTH LATIN SMALL LETTER G
U+FF48	ｈ	FULLWIDTH LATIN SMALL LETTER H
U+FF49	ｉ	FULLWIDTH LATIN SMALL LETTER I
U+FF4B	ｋ	FULLWIDTH LATIN SMALL LETTER K
U+FF4C	ｌ	FULLWIDTH LATIN SMALL LETTER L
U+FF4D	ｍ	FULLWIDTH LATIN SMALL LETTER M
U+FF4E	ｎ	FULLWIDTH LATIN SMALL LETTER N
